symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,diesel,gas,std,turbo
3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495,Low,False,True,True,False
3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500,Low,False,True,True,False
1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,0.38333333333333347,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500,Medium,False,True,True,False
2,164.0,audi,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,0.5416666666666666,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950,Low,False,True,True,False
2,164.0,audi,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,0.5416666666666666,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450,Low,False,True,True,False
2,122.0,audi,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,0.44166666666666704,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250,Low,False,True,True,False
1,158.0,audi,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710,Low,False,True,True,False
1,122.0,audi,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920,Low,False,True,True,False
1,158.0,audi,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6750000000000002,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875,Medium,False,True,False,True
2,192.0,bmw,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430,Low,False,True,True,False
